Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"3.58000","0.00000","0.01222"
"3.59000","0.00000","0.01117"
"3.60000","0.00000","0.00559"
"3.61000","0.00000","-0.00225"
"3.62000","0.00000","-0.00836"
"3.63000","0.00000","-0.00527"
"3.64000","0.00000","0.00337"
"3.65000","0.00000","0.00948"
"3.66000","0.00000","0.00987"
"3.67000","0.00000","0.00370"
"3.68000","0.00000","-0.00490"
"3.69000","0.00000","-0.00892"
"3.70000","0.00000","-0.00373"
"3.71000","0.00000","0.00471"
"3.72000","0.00000","0.01183"
"3.73000","0.00000","0.01099"
"3.74000","0.00000","0.00230"
"3.75000","0.00000","-0.00430"
"3.76000","0.00000","-0.00388"
"3.77000","0.00000","0.00172"
"3.78000","0.00000","0.00673"
"3.79000","0.00000","0.00942"
"3.80000","0.00000","0.00559"
"3.81000","0.00000","-0.00096"
"3.82000","0.00000","-0.00582"
"3.83000","0.00000","-0.00765"
"3.84000","0.00000","-0.00397"
"3.85000","0.00000","0.00224"
"3.86000","0.00000","0.00531"
"3.87000","0.00000","0.00740"
"3.88000","0.00000","0.00449"
"3.89000","0.00000","0.00101"
"3.90000","0.00000","-0.00143"
"3.91000","0.00000","-0.00309"
"3.92000","0.00000","-0.00359"
"3.93000","0.00000","-0.00239"
"3.94000","0.00000","0.00324"
"3.95000","0.00000","0.00869"
"3.96000","0.00000","0.01252"
"3.97000","0.00000","0.01053"
"3.98000","0.00000","0.00356"
"3.99000","0.00000","-0.00425"
"4.00000","0.00000","-0.00920"
"4.01000","0.00000","-0.00490"
"4.02000","0.00000","0.00104"
"4.03000","0.00000","0.00684"
"4.04000","0.00000","0.01212"
"4.05000","0.00000","0.01151"
"4.06000","0.00000","0.00948"
"4.07000","0.00000","0.00705"
"4.08000","0.00000","0.00416"
"4.09000","0.00000","-0.00265"
"4.10000","0.00000","-0.00702"
"4.11000","0.00000","-0.00332"
"4.12000","0.00000","0.00265"
"4.13000","0.00000","0.00979"
"4.14000","0.00000","0.01307"
"4.15000","0.00000","0.00919"
"4.16000","0.00000","0.00269"
"4.17000","0.00000","-0.00377"
"4.18000","0.00000","-0.00786"
"4.19000","0.00000","-0.00896"
"4.20000","0.00000","-0.00451"
"4.21000","0.00000","0.00270"
"4.22000","0.00000","0.00790"
"4.23000","0.00000","0.00854"
"4.24000","0.00000","0.00707"
"4.25000","0.00000","0.00748"
"4.26000","0.00000","0.00487"
"4.27000","0.00000","0.00049"
"4.28000","0.00000","-0.00109"
"4.29000","0.00000","-0.00098"
"4.30000","0.00000","0.00195"
"4.31000","0.00000","0.00996"
"4.32000","0.00000","0.01835"
"4.33000","0.00000","0.01900"
"4.34000","0.00000","0.00364"
"4.35000","0.00000","-0.01802"
"4.36000","0.00000","-0.03346"
"4.37000","0.00000","-0.02498"
"4.38000","0.00000","0.00198"
"4.39000","0.00000","0.02826"
"4.40000","0.00000","0.03724"
"4.41000","0.00000","0.02390"
"4.42000","0.00000","-0.00081"
"4.43000","0.00000","-0.02591"
"4.44000","0.00000","-0.03185"
"4.45000","0.00000","-0.01450"
"4.46000","0.00000","0.01378"
"4.47000","0.00000","0.03622"
"4.48000","0.00000","0.03522"
"4.49000","0.00000","0.01475"
"4.50000","0.00000","-0.01081"
"4.51000","0.00000","-0.02291"
"4.52000","0.00000","-0.01601"
"4.53000","0.00000","0.00011"
"4.54000","0.00000","0.01821"
"4.55000","0.00000","0.02672"
"4.56000","0.00000","0.01913"
"4.57000","0.00000","0.00285"
"4.58000","0.00000","-0.01486"
"4.59000","0.00000","-0.02288"
"4.60000","0.00000","-0.01864"
"4.61000","0.00000","-0.00426"
"4.62000","0.00000","0.01122"
"4.63000","0.00000","0.02038"
"4.64000","0.00000","0.02325"
"4.65000","0.00000","0.01826"
"4.66000","0.00000","0.01009"
"4.67000","0.00000","-0.00316"
"4.68000","0.00000","-0.01433"
"4.69000","0.00000","-0.01598"
"4.70000","0.00000","-0.00823"
"4.71000","0.00000","0.00786"
"4.72000","0.00000","0.02073"
"4.73000","0.00000","0.02215"
"4.74000","0.00000","0.01191"
"4.75000","0.00000","-0.00476"
"4.76000","0.00000","-0.01777"
"4.77000","0.00000","-0.02014"
"4.78000","0.00000","-0.00734"
"4.79000","0.00000","0.01049"
"4.80000","0.00000","0.01883"
"4.81000","0.00000","0.01424"
"4.82000","0.00000","0.00069"
"4.83000","0.00000","-0.00793"
"4.84000","0.00000","-0.00503"
"4.85000","0.00000","0.00112"
"4.86000","0.00000","0.00700"
"4.87000","0.00000","0.01045"
"4.88000","0.00000","0.01129"
"4.89000","0.00000","0.01043"
"4.90000","0.00000","0.00641"
"4.91000","0.00000","-0.00151"
"4.92000","0.00000","-0.00863"
"4.93000","0.00000","-0.00952"
"4.94000","0.00000","-0.00394"
"4.95000","0.00000","0.00598"
"4.96000","0.00000","0.01274"
"4.97000","0.00000","0.01282"
"4.98000","0.00000","0.00944"
"4.99000","0.00000","0.00383"
"5.00000","0.00000","-0.00101"
